match_id,summoner_name,champion,role,win,kills,deaths,assists,team
EUW1_7182832101,kekevFRF,Garen,TOP,1,4,0,0,1
EUW1_7182832101,mrt100,Galio,MIDDLE,1,2,1,2,1
EUW1_7182832101,KypaneTv,Ezreal,BOTTOM,1,5,1,1,1
EUW1_7182832101,Kermitdotexe,Hecarim,JUNGLE,1,1,0,3,1
EUW1_7182832101,Delulu Nay,Seraphine,SUPPORT,1,2,0,3,1
EUW1_7182832101,summoner x,Ivern,JUNGLE,0,0,4,0,2
EUW1_7182832101,Apoille,Yone,MIDDLE,0,1,1,0,2
EUW1_7182832101,summoner x,Jhin,BOTTOM,0,1,4,0,2
EUW1_7182832101,Hoborymm,Milio,SUPPORT,0,0,2,1,2
EUW1_7182832101,summoner x,Illaoi,TOP,0,0,3,0,2
EUW1_7182968265,summoner x,Lux,SUPPORT,1,0,0,0,1
EUW1_7182968265,Bobo Fleure,Hwei,MIDDLE,1,0,0,0,1
EUW1_7182968265,AquaSquirrelll,Warwick,JUNGLE,1,0,0,0,1
EUW1_7182968265,Kayzend21,Kayle,TOP,1,0,0,0,1
EUW1_7182968265,yone is girlypop,Janna,SUPPORT,0,0,0,0,2
EUW1_7182968265,Delulu Nay,Caitlyn,BOTTOM,0,0,0,0,2
EUW1_7182968265,Dietz Nuts,Nidalee,MIDDLE,0,0,0,0,2
EUW1_7182968265,alvaroarufe,Zac,JUNGLE,0,0,0,0,2
EUW1_7182993484,Heolyss,Poppy,SUPPORT,0,5,11,15,1
EUW1_7182993484,NieWiemCyce,Katarina,MIDDLE,0,12,6,3,1
EUW1_7182993484,summoner x,Volibear,JUNGLE,0,8,9,5,1
EUW1_7182993484,SabrilleParIci,Heimerdinger,TOP,0,2,18,7,1
EUW1_7182993484,kisaaameee,Yuumi,SUPPORT,1,1,5,32,1
EUW1_7182993484,Delulu Nay,MissFortune,BOTTOM,1,10,11,9,2
EUW1_7182993484,Dietz Nuts,Viktor,MIDDLE,1,9,8,19,2
EUW1_7182993484,Zuckerauto,Nasus,JUNGLE,1,4,0,3,2
EUW1_7182993484,Shadowfire02,Galio,TOP,1,26,8,16,2
EUW1_7182993484,MoriartyLawliet,Ezreal,BOTTOM,0,5,6,10,2
EUW1_7183385240,KyloBen2403,Chogath,TOP,0,2,3,1,1
EUW1_7183385240,ShookNasty,Shaco,JUNGLE,0,0,3,1,1
EUW1_7183385240,sebastinoma20,Warwick,MIDDLE,0,2,8,0,1
EUW1_7183385240,Delulu Nay,Caitlyn,BOTTOM,0,4,0,2,1
EUW1_7183385240,CHA0ZKiLlEr,Jax,JUNGLE,1,4,2,4,1
EUW1_7183385240,summoner x,Mordekaiser,TOP,1,5,3,3,2
EUW1_7183385240,summoner x,Ahri,MIDDLE,1,5,1,3,2
EUW1_7183385240,RedDraGon330,MissFortune,BOTTOM,1,1,2,2,2
EUW1_7183385240,Tractopeleteuse,Leona,SUPPORT,1,0,1,2,2
EUW1_7183385240,ScottBaio,Alistar,SUPPORT,0,1,1,4,2
EUW1_7184516358,jojo18112004,Trundle,TOP,1,8,3,3,1
EUW1_7184516358,KongoKönig11,Volibear,JUNGLE,1,9,4,6,1
EUW1_7184516358,Playszer,Katarina,MIDDLE,1,7,5,7,1
EUW1_7184516358,Yuj1 N1sh1da,Rell,SUPPORT,1,0,7,8,1
EUW1_7184516358,Delulu Nay,Kaisa,BOTTOM,1,3,3,4,1
EUW1_7184516358,summoner x,MasterYi,JUNGLE,0,5,9,4,2
EUW1_7184516358,Azel4,Lulu,MIDDLE,0,6,3,6,2
EUW1_7184516358,summoner x,Swain,BOTTOM,0,6,6,6,2
EUW1_7184516358,summoner x,Thresh,SUPPORT,0,3,4,9,2
EUW1_7184516358,summoner x,Ornn,TOP,0,2,5,2,2
EUW1_7189126563,summoner x,Lux,SUPPORT,0,1,5,0,1
EUW1_7189126563,Delulu Nay,Kaisa,BOTTOM,0,0,1,0,1
EUW1_7189126563,aphroditexs,Akali,MIDDLE,0,0,3,1,1
EUW1_7189126563,Etago1,Volibear,JUNGLE,0,0,5,2,1
EUW1_7189126563,summoner x,Briar,TOP,0,3,5,0,1
EUW1_7189126563,LucianoSavastano,Gragas,SUPPORT,1,1,0,3,2
EUW1_7189126563,summoner x,Smolder,BOTTOM,1,2,1,3,2
EUW1_7189126563,Tyty56330,Ahri,MIDDLE,1,5,0,6,2
EUW1_7189126563,BaconsGladstone,Nocturne,JUNGLE,1,8,1,4,2
EUW1_7189126563,Raphouillll,Kennen,TOP,1,3,2,1,2
